===== 2026-06-17T14:31:29.0151909+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          34.47%    93.91MiB / 2.711GiB   3.38%     77.4MB / 2.1MB    22.8MB / 53.2kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            331.85%   316.7MiB / 2.711GiB   11.41%    128MB / 315MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     196.4MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.12%     84.5MiB / 2.711GiB    3.04%     95.3kB / 74.6kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.5MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.8MiB / 2.711GiB    2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.12%     197.9MiB / 2.711GiB   7.13%     126kB / 118kB     7.14MB / 31.4MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           7.62%     11.22MiB / 2.711GiB   0.40%     80.4MB / 82MB     10.9MB / 242kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              99.22%    140MiB / 2.711GiB     5.04%     242MB / 127MB     81.3MB / 339MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           12.34%    16.21MiB / 2.711GiB   0.58%     341kB / 361kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:33:29.0344354+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          14.09%    93.9MiB / 2.711GiB    3.38%     84MB / 2.27MB     22.8MB / 69.6kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            228.29%   316.3MiB / 2.711GiB   11.40%    139MB / 342MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     196.2MiB / 2.711GiB   7.07%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.16%     84.17MiB / 2.711GiB   3.03%     100kB / 76.7kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.23%     193.5MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.77MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.37%     197.2MiB / 2.711GiB   7.11%     134kB / 124kB     7.14MB / 31.9MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.54%     11.3MiB / 2.711GiB    0.41%     87.3MB / 89MB     10.9MB / 279kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              96.66%    145.8MiB / 2.711GiB   5.25%     260MB / 136MB     81.5MB / 373MB    15
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           9.48%     18.11MiB / 2.711GiB   0.65%     349kB / 373kB     67.5MB / 77.8kB   13
===== 2026-06-17T14:33:37.9616514+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          19.63%    94.34MiB / 2.711GiB   3.40%     88.8MB / 2.39MB   22.8MB / 69.6kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            335.35%   314.8MiB / 2.711GiB   11.34%    147MB / 361MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.12%     196.2MiB / 2.711GiB   7.07%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     83.91MiB / 2.711GiB   3.02%     104kB / 78.7kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     193.4MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.77MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.10%     197MiB / 2.711GiB     7.10%     141kB / 130kB     7.14MB / 32.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           7.14%     11.52MiB / 2.711GiB   0.42%     92.2MB / 94.1MB   10.9MB / 295kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              106.39%   149.3MiB / 2.711GiB   5.38%     274MB / 144MB     82MB / 399MB      14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     15.71MiB / 2.711GiB   0.57%     356kB / 382kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:33:46.4513930+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          12.34%    93.87MiB / 2.711GiB   3.38%     95.1MB / 2.55MB   22.8MB / 69.6kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            125.26%   316MiB / 2.711GiB     11.39%    157MB / 387MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.11%     196.4MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     84.14MiB / 2.711GiB   3.03%     108kB / 80kB      8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.4MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.77MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.05%     196.4MiB / 2.711GiB   7.08%     147kB / 135kB     7.14MB / 32.8MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.06%     11.52MiB / 2.711GiB   0.42%     98.8MB / 101MB    10.9MB / 295kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              42.55%    155MiB / 2.711GiB     5.58%     294MB / 154MB     82.1MB / 413MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.62%     15.88MiB / 2.711GiB   0.57%     362kB / 391kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:33:54.1312150+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          20.01%    94.25MiB / 2.711GiB   3.40%     101MB / 2.69MB    22.8MB / 69.6kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            266.90%   313MiB / 2.711GiB     11.28%    168MB / 414MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.4MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.23%     83.89MiB / 2.711GiB   3.02%     111kB / 81.5kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.4MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.77MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   1.60%     196.2MiB / 2.711GiB   7.07%     153kB / 141kB     7.14MB / 33.1MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.82%     11.26MiB / 2.711GiB   0.41%     106MB / 108MB     10.9MB / 295kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              100.13%   160.3MiB / 2.711GiB   5.77%     311MB / 163MB     82.2MB / 425MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           1.10%     15.63MiB / 2.711GiB   0.56%     369kB / 401kB     67.5MB / 81.9kB   6
===== 2026-06-17T14:34:01.6061822+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          21.55%    94.66MiB / 2.711GiB   3.41%     107MB / 2.86MB    22.8MB / 81.9kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            340.60%   313.6MiB / 2.711GiB   11.30%    177MB / 436MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     196.4MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.17%     84.36MiB / 2.711GiB   3.04%     116kB / 83kB      8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.4MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.76MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.22%     195.6MiB / 2.711GiB   7.05%     159kB / 147kB     7.14MB / 33.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.81%     11.33MiB / 2.711GiB   0.41%     111MB / 114MB     10.9MB / 299kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              103.89%   165.8MiB / 2.711GiB   5.97%     330MB / 173MB     82.2MB / 475MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.75%     15.59MiB / 2.711GiB   0.56%     375kB / 410kB     67.5MB / 86kB     6
===== 2026-06-17T14:34:09.2002667+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          26.09%    93.48MiB / 2.711GiB   3.37%     113MB / 2.99MB    22.8MB / 81.9kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            360.03%   314.4MiB / 2.711GiB   11.33%    187MB / 463MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.4MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     84.12MiB / 2.711GiB   3.03%     119kB / 84.9kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     193.4MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.76MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.06%     196.4MiB / 2.711GiB   7.07%     165kB / 151kB     7.14MB / 33.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           6.76%     11.29MiB / 2.711GiB   0.41%     118MB / 121MB     10.9MB / 299kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              112.24%   171.1MiB / 2.711GiB   6.16%     347MB / 181MB     82.2MB / 486MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.65%     15.72MiB / 2.711GiB   0.57%     381kB / 417kB     67.5MB / 86kB     6
===== 2026-06-17T14:34:16.7552026+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          25.76%    93.34MiB / 2.711GiB   3.36%     121MB / 3.2MB     22.8MB / 94.2kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            341.04%   316.2MiB / 2.711GiB   11.39%    199MB / 492MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.13%     196.4MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     84.32MiB / 2.711GiB   3.04%     123kB / 86kB      8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.4MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.73MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.05%     195MiB / 2.711GiB     7.02%     170kB / 156kB     7.14MB / 34.5MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           7.35%     10.97MiB / 2.711GiB   0.40%     126MB / 129MB     10.9MB / 328kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              117.62%   179.1MiB / 2.711GiB   6.45%     369MB / 192MB     83.8MB / 531MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.59%     15.46MiB / 2.711GiB   0.56%     387kB / 426kB     67.5MB / 94.2kB   6
===== 2026-06-17T14:34:24.2041978+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          27.12%    93.18MiB / 2.711GiB   3.36%     127MB / 3.35MB    22.8MB / 94.2kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            318.34%   314MiB / 2.711GiB     11.31%    210MB / 519MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.3MiB / 2.711GiB   7.07%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.29%     84.53MiB / 2.711GiB   3.05%     127kB / 87.8kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.3MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.71MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.30%     194.9MiB / 2.711GiB   7.02%     176kB / 162kB     7.14MB / 35MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           6.70%     10.93MiB / 2.711GiB   0.39%     133MB / 135MB     10.9MB / 328kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              123.01%   185.4MiB / 2.711GiB   6.68%     392MB / 205MB     83.8MB / 546MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.66%     15.03MiB / 2.711GiB   0.54%     393kB / 435kB     67.5MB / 94.2kB   6
===== 2026-06-17T14:34:31.6767780+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          23.13%    93.21MiB / 2.711GiB   3.36%     135MB / 3.55MB    22.8MB / 94.2kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            318.60%   309.8MiB / 2.711GiB   11.16%    221MB / 547MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.07%     196.4MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.08%     84.05MiB / 2.711GiB   3.03%     131kB / 89.2kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.13%     193.3MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.73MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.21%     194.2MiB / 2.711GiB   7.00%     182kB / 167kB     7.14MB / 35.5MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           6.51%     11.06MiB / 2.711GiB   0.40%     140MB / 143MB     10.9MB / 336kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              164.49%   186.5MiB / 2.711GiB   6.72%     413MB / 215MB     85.7MB / 573MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.67%     15.62MiB / 2.711GiB   0.56%     399kB / 444kB     67.5MB / 94.2kB   6
===== 2026-06-17T14:34:39.1120937+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          14.91%    92.9MiB / 2.711GiB    3.35%     140MB / 3.67MB    22.8MB / 94.2kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            250.76%   315.8MiB / 2.711GiB   11.38%    230MB / 567MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     83.95MiB / 2.711GiB   3.02%     134kB / 90.9kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.2MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.69MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.05%     192.7MiB / 2.711GiB   6.94%     188kB / 171kB     7.14MB / 37.1MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.32%     11.41MiB / 2.711GiB   0.41%     145MB / 148MB     10.9MB / 385kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              93.71%    191.1MiB / 2.711GiB   6.89%     428MB / 224MB     87.1MB / 614MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           6.44%     14.57MiB / 2.711GiB   0.52%     405kB / 452kB     67.5MB / 94.2kB   6
===== 2026-06-17T14:34:46.5832954+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          9.81%     92.89MiB / 2.711GiB   3.35%     145MB / 3.8MB     22.8MB / 106kB    2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            94.84%    315.1MiB / 2.711GiB   11.35%    238MB / 587MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     84.12MiB / 2.711GiB   3.03%     138kB / 92.1kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.15%     193.3MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.69MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.05%     191.7MiB / 2.711GiB   6.91%     193kB / 177kB     7.14MB / 37.8MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.80%     11.85MiB / 2.711GiB   0.43%     150MB / 153MB     10.9MB / 414kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              22.73%    192.1MiB / 2.711GiB   6.92%     443MB / 232MB     87.9MB / 633MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.74%     16.8MiB / 2.711GiB    0.61%     410kB / 460kB     69.8MB / 94.2kB   6
===== 2026-06-17T14:34:54.0783357+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          8.08%     92.65MiB / 2.711GiB   3.34%     150MB / 3.93MB    22.8MB / 618kB    2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            63.79%    314.4MiB / 2.711GiB   11.33%    247MB / 608MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.07%     84.07MiB / 2.711GiB   3.03%     142kB / 94.1kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.10%     193.2MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.68MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.22%     191.5MiB / 2.711GiB   6.90%     200kB / 182kB     7.14MB / 38.4MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.63%     11.38MiB / 2.711GiB   0.41%     155MB / 159MB     10.9MB / 446kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              19.90%    192.2MiB / 2.711GiB   6.92%     459MB / 240MB     87.9MB / 669MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.65%     17.35MiB / 2.711GiB   0.63%     416kB / 468kB     69.8MB / 98.3kB   6
===== 2026-06-17T14:35:01.5062204+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          4.67%     92.52MiB / 2.711GiB   3.33%     154MB / 4.02MB    22.8MB / 631kB    2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            23.74%    315.6MiB / 2.711GiB   11.37%    253MB / 624MB     14.9MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     84.3MiB / 2.711GiB    3.04%     145kB / 95.1kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.07%     193.2MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.68MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.04%     191.5MiB / 2.711GiB   6.90%     205kB / 186kB     7.14MB / 38.4MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           1.55%     12.05MiB / 2.711GiB   0.43%     160MB / 163MB     10.9MB / 446kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              8.95%     192.8MiB / 2.711GiB   6.95%     471MB / 246MB     87.9MB / 700MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.47%     16.85MiB / 2.711GiB   0.61%     422kB / 477kB     69.8MB / 98.3kB   6
===== 2026-06-17T14:35:08.8644602+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          16.28%    93.25MiB / 2.711GiB   3.36%     158MB / 4.1MB     22.8MB / 631kB    2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            269.35%   316.3MiB / 2.711GiB   11.40%    259MB / 639MB     14.9MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.42%     83.82MiB / 2.711GiB   3.02%     149kB / 96.9kB    8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.2MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.68MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.05%     191.3MiB / 2.711GiB   6.89%     211kB / 192kB     7.14MB / 38.4MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.43%     11.59MiB / 2.711GiB   0.42%     164MB / 167MB     10.9MB / 446kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              83.63%    193.3MiB / 2.711GiB   6.97%     482MB / 252MB     87.9MB / 716MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.63%     16.94MiB / 2.711GiB   0.61%     428kB / 486kB     69.8MB / 98.3kB   6
===== 2026-06-17T14:35:16.2733378+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          13.33%    92.75MiB / 2.711GiB   3.34%     162MB / 4.2MB     22.8MB / 897kB    2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            32.04%    316.4MiB / 2.711GiB   11.40%    264MB / 651MB     14.9MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.07%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.10%     83.81MiB / 2.711GiB   3.02%     153kB / 98.3kB    8.58MB / 0B       10
