===== 2026-06-17T14:31:29.0151909+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.19%     194MiB / 2.711GiB     6.99%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.99MiB / 2.711GiB   2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.69%     206.3MiB / 2.711GiB   7.43%     56.6kB / 56.1kB   7.14MB / 22.4MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           8.31%     11.11MiB / 2.711GiB   0.40%     5.22MB / 5.38MB   10.9MB / 49.2kB   9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              125.12%   73.4MiB / 2.711GiB    2.64%     23.3MB / 14.8MB   77.5MB / 62.2MB   14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           26.13%    17.8MiB / 2.711GiB    0.64%     269kB / 257kB     67.5MB / 69.6kB   6
===== 2026-06-17T14:31:58.3877373+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          25.17%    94.12MiB / 2.711GiB   3.39%     10.2MB / 399kB    22.8MB / 20.5kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            331.48%   306.7MiB / 2.711GiB   11.05%    22.9MB / 49.9MB   14.8MB / 20.5kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     197.1MiB / 2.711GiB   7.10%     35kB / 24.4kB     18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     84.58MiB / 2.711GiB   3.05%     55kB / 58.3kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     194.1MiB / 2.711GiB   6.99%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     81MiB / 2.711GiB      2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.13%     206.1MiB / 2.711GiB   7.43%     63.2kB / 61.6kB   7.14MB / 22.7MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           6.26%     11.11MiB / 2.711GiB   0.40%     11.5MB / 11.8MB   10.9MB / 49.2kB   9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              105.39%   79.81MiB / 2.711GiB   2.88%     41.5MB / 24.1MB   78.8MB / 83.9MB   14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.70%     17.75MiB / 2.711GiB   0.64%     276kB / 266kB     67.5MB / 69.6kB   6
===== 2026-06-17T14:32:06.0037787+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          24.01%    93.47MiB / 2.711GiB   3.37%     18.1MB / 599kB    22.8MB / 20.5kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            341.23%   308.8MiB / 2.711GiB   11.13%    33.4MB / 77.4MB   14.8MB / 20.5kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     197.1MiB / 2.711GiB   7.10%     35kB / 24.4kB     18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.11%     84.83MiB / 2.711GiB   3.06%     58.9kB / 59.5kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.10%     194.1MiB / 2.711GiB   6.99%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     81MiB / 2.711GiB      2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.33%     205.5MiB / 2.711GiB   7.40%     68.9kB / 66.8kB   7.14MB / 22.9MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           7.12%     11.07MiB / 2.711GiB   0.40%     19MB / 19.4MB     10.9MB / 49.2kB   9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              119.15%   87.01MiB / 2.711GiB   3.13%     62MB / 34.3MB     79.8MB / 98.3MB   14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.63%     17.75MiB / 2.711GiB   0.64%     280kB / 273kB     67.5MB / 69.6kB   6
===== 2026-06-17T14:32:13.5722261+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          28.66%    94.07MiB / 2.711GiB   3.39%     23.2MB / 743kB    22.8MB / 20.5kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            344.73%   310.5MiB / 2.711GiB   11.19%    42.2MB / 98.8MB   14.8MB / 20.5kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.07%     197.1MiB / 2.711GiB   7.10%     35kB / 24.4kB     18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.18%     84.59MiB / 2.711GiB   3.05%     62.7kB / 61.3kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     194.1MiB / 2.711GiB   6.99%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     81MiB / 2.711GiB      2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.23%     205.3MiB / 2.711GiB   7.40%     75.1kB / 72.1kB   7.14MB / 23MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           6.96%     11.27MiB / 2.711GiB   0.41%     24.3MB / 24.8MB   10.9MB / 49.2kB   9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              106.96%   92.74MiB / 2.711GiB   3.34%     78.1MB / 42.7MB   80.2MB / 126MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.70%     17.72MiB / 2.711GiB   0.64%     288kB / 284kB     67.5MB / 69.6kB   6
===== 2026-06-17T14:32:21.0879749+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          20.00%    94.02MiB / 2.711GiB   3.39%     30MB / 899kB      22.8MB / 20.5kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            352.38%   309.7MiB / 2.711GiB   11.16%    52.2MB / 125MB    14.8MB / 20.5kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     197.1MiB / 2.711GiB   7.10%     35kB / 24.4kB     18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     84.83MiB / 2.711GiB   3.06%     65.9kB / 62.6kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.10%     194.1MiB / 2.711GiB   6.99%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.98MiB / 2.711GiB   2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.23%     205.1MiB / 2.711GiB   7.39%     80.2kB / 77.1kB   7.14MB / 24.1MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.31%     10.79MiB / 2.711GiB   0.39%     31.2MB / 31.9MB   10.9MB / 73.7kB   9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              111.22%   98.79MiB / 2.711GiB   3.56%     97.3MB / 52.4MB   80.3MB / 140MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.64%     17.28MiB / 2.711GiB   0.62%     294kB / 292kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:32:27.9457063+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          18.40%    93.98MiB / 2.711GiB   3.39%     35.7MB / 1.06MB   22.8MB / 32.8kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            209.51%   309.1MiB / 2.711GiB   11.14%    60.5MB / 145MB    14.8MB / 20.5kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.14%     197.1MiB / 2.711GiB   7.10%     35kB / 24.4kB     18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.74%     84.58MiB / 2.711GiB   3.05%     69.8kB / 64.4kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.10%     194.1MiB / 2.711GiB   6.99%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.96MiB / 2.711GiB   2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.57%     204.8MiB / 2.711GiB   7.38%     86.6kB / 82.6kB   7.14MB / 24.9MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.71%     11.71MiB / 2.711GiB   0.42%     37.2MB / 38MB     10.9MB / 106kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              93.95%    103.8MiB / 2.711GiB   3.74%     115MB / 61.6MB    80.3MB / 175MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.82%     17.4MiB / 2.711GiB    0.63%     300kB / 301kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:32:35.4883787+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          26.46%    93.65MiB / 2.711GiB   3.37%     42.5MB / 1.22MB   22.8MB / 32.8kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            355.77%   313.4MiB / 2.711GiB   11.29%    72.1MB / 175MB    14.8MB / 20.5kB   13
